Time (UTC);Open;High;Low;Close;Volume 
2022.01.02 22:00:00;1,1369;1,13782;1,12797;1,12965;82645,6585
2022.01.03 22:00:00;1,12965;1,13224;1,12721;1,12861;103505,09
2022.01.04 22:00:00;1,12856;1,13463;1,12769;1,13116;97535,0375
2022.01.05 22:00:00;1,13117;1,13318;1,12845;1,12964;109459,7775
2022.01.06 22:00:00;1,12964;1,13647;1,12899;1,13593;84891,125
2022.01.09 22:00:00;1,13515;1,13602;1,12847;1,13235;92145,2131
2022.01.10 22:00:00;1,13234;1,13752;1,1313;1,13659;67687,7
2022.01.11 22:00:00;1,13659;1,14526;1,13547;1,14408;78904,595
2022.01.12 22:00:00;1,14406;1,14817;1,14357;1,1454;71596,885
2022.01.13 22:00:00;1,14535;1,14827;1,13984;1,1409;77216,4065
2022.01.16 22:00:00;1,14118;1,14344;1,13917;1,14047;50064,495
2022.01.17 22:00:00;1,14047;1,14214;1,13146;1,13253;89075,7
2022.01.18 22:00:00;1,13253;1,13571;1,13187;1,13418;71277,0025
2022.01.19 22:00:00;1,13414;1,13688;1,13031;1,13096;74257,255
2022.01.20 22:00:00;1,13096;1,13596;1,13009;1,13418;73924,07
2022.01.23 22:00:00;1,13396;1,1345;1,12904;1,1324;101820,95
2022.01.24 22:00:00;1,1323;1,13289;1,12631;1,12997;83058,725
2022.01.25 22:00:00;1,12995;1,13107;1,12354;1,12408;103078,042
2022.01.26 22:00:00;1,12408;1,12432;1,11312;1,11424;107777,89
2022.01.27 22:00:00;1,11432;1,11735;1,11213;1,1145;110034,46
2022.01.30 22:00:00;1,11422;1,12478;1,1138;1,12329;98070,94
2022.01.31 22:00:00;1,12319;1,12786;1,12209;1,12719;86289,43
2022.02.01 22:00:00;1,12719;1,133;1,12665;1,13022;68522,23
2022.02.02 22:00:00;1,13022;1,14514;1,12672;1,1437;129968,102
2022.02.03 22:00:00;1,14369;1,14837;1,14115;1,14477;107486,02
2022.02.06 22:00:00;1,14638;1,14646;1,14151;1,14421;89719,13
2022.02.07 22:00:00;1,14415;1,14487;1,13961;1,14153;77771,507
2022.02.08 22:00:00;1,14153;1,14477;1,14024;1,14211;66884,872
2022.02.09 22:00:00;1,14214;1,14948;1,13748;1,14272;117806,26
