Time (UTC);Open;High;Low;Close
02.01.2022 22:00;1,1369;1,13741;1,13649;1,13729
02.01.2022 23:00;1,13721;1,13782;1,13692;1,13727
03.01.2022 00:00;1,13726;1,13755;1,13608;1,13618
03.01.2022 01:00;1,13619;1,13651;1,13498;1,13584
03.01.2022 02:00;1,13584;1,13585;1,13423;1,13425
03.01.2022 03:00;1,13428;1,135;1,13412;1,13481
03.01.2022 04:00;1,13482;1,13489;1,13385;1,13403
03.01.2022 05:00;1,13404;1,13411;1,13359;1,13378
03.01.2022 06:00;1,13378;1,13462;1,13377;1,13429
03.01.2022 07:00;1,1343;1,135;1,13349;1,1348
03.01.2022 08:00;1,13479;1,13479;1,13352;1,13465
03.01.2022 09:00;1,13465;1,13563;1,13356;1,13516
03.01.2022 10:00;1,13516;1,13596;1,13506;1,13551
03.01.2022 11:00;1,13552;1,13661;1,13514;1,13554
03.01.2022 12:00;1,13554;1,13594;1,13465;1,13586
03.01.2022 13:00;1,13588;1,13641;1,13458;1,13506
03.01.2022 14:00;1,13507;1,13517;1,12997;1,13061
03.01.2022 15:00;1,13064;1,13093;1,12902;1,12915
03.01.2022 16:00;1,12916;1,12988;1,12828;1,12888
03.01.2022 17:00;1,12888;1,12899;1,12797;1,12837
03.01.2022 18:00;1,12837;1,12969;1,12833;1,12948
03.01.2022 19:00;1,12948;1,12995;1,12936;1,12971
03.01.2022 20:00;1,1297;1,13003;1,12937;1,12963
03.01.2022 21:00;1,12963;1,12992;1,12943;1,12965
03.01.2022 22:00;1,12965;1,12982;1,12929;1,12945
03.01.2022 23:00;1,12948;1,13022;1,12946;1,13017
04.01.2022 00:00;1,13016;1,13068;1,13012;1,13056
04.01.2022 01:00;1,13056;1,13087;1,13013;1,13066
04.01.2022 02:00;1,13065;1,13094;1,12997;1,13021
04.01.2022 03:00;1,13021;1,13042;1,12953;1,12975
04.01.2022 04:00;1,12975;1,13055;1,12962;1,13005
04.01.2022 05:00;1,13005;1,13057;1,13003;1,13046
04.01.2022 06:00;1,13046;1,13071;1,12919;1,12931
04.01.2022 07:00;1,12929;1,12942;1,12831;1,12914
04.01.2022 08:00;1,12914;1,13002;1,12872;1,12895
04.01.2022 09:00;1,12894;1,13083;1,12831;1,13019
04.01.2022 10:00;1,13019;1,13055;1,12944;1,12945
